adiposity	adiposity.coefficient.of.variation	average.adiposity..liver.	average.fat.mass..liver.	average.lean.mass..liver.	average.total.mass..liver.	Body.Weight	Col.C22.6.	fat.mass	FFA.C14.0.	FFA.C16.0.	FFA.C16.1.	FFA.C18.0.	FFA.C18.1.	FFA.C18.2.	FFA.C18.3.	FFA.C20.1.	FFA.C20.2.	FFA.C20.3.a	FFA.C20.3.b	FFA.C20.4.	FFA.C20.5.	FFA.C22.4.	FFA.C22.5.	FFA.C22.6.	FFA.C24.4.	FFA.C24.5.	FFA.C24.6.	fibrosed.area	free.fatty.acids	free.fatty.acids..pre.bleed.	free.fluid	G.CSF	Glucose	Glucose..pre.bleed.	GM.CSF	Gonadal.Fat	GRAN	GRAN..	HCT	HDL	HDL..pre.bleed.	HGB	HOMA.IR	HOMA.IR..pre.bleed.	IFNr	IL.10	IL.12..p40.	IL.12..p70.	IL.13	IL.15	IL.1a	IL.1b	IL.2	IL.4	IL.6	IL.7	Insulin	Insulin..pre.bleed.	IP.10	KC	Kidney..left.	lean.mass	lesion.area	Liver...body.weight	Liver.collagen	Liver.Total	LiverHist	LiverLipids	LiverMetab	LiverNMR	LiverResidual	LiverRNA	LiverSpare	LYM	LYM..	M.CSF	MCH	MCHC	MCP.1	MCV	MIG	MIP.1a	MIP.1b	MIP.2	MONO	MONO..	MPV	phospholipids..liver.	PLT	RANTES	RBC	RBC.Time	RDW..	RDWa	Spleen	TNFa	total.cholesterol	total.cholesterol..liver.	total.cholesterol..pre.bleed.	total.liver.weighed	triglycerides	triglycerides..liver.	triglycerides..pre.bleed.	unesterified.cholesterol	unesterified.cholesterol..liver.	unesterified.cholesterol..pre.bleed.	VLDL.LDL	VLDL.LDL..pre.bleed.	WBC	WBC.Time
1860	0.28517981723181	0.00926291	0.277190691	0.340666667	0.888333333	1.229	29.67	NA	8.94884	NA	17.0316520350704	3.97349575254674	5.52406396020648	214.935108848625	7.16775411121575	NA	NA	NA	7.46205459255627	NA	41.2038244054714	0.542918499905789	NA	3.55883955197144	8.28960997590781	NA	NA	NA	NA	NA	NA	0.190151	612	289	149	0	0.805	2.3	26.3	37.2	37	28	12.7	13.6438502	4.257646572	0	11.62	0	0	0	0	0	0	0	0	0	0	798	483	150	197	0.139	22.4308	NA	0.067610381	0.11	2.006	0.09	0.146	0.17	1.24	0	0.07	0.18	5.9	65.9	0	14.1	34.2	14.27	41.1	63.22	41.73	0	0	0.7	7.8	6.1	NA	150	0	9.03	15.85	18.1	27	0.218	0	1048	NA	191	2.06	393	NA	342	NA	NA	NA	1011	163	8.9	10.73
1846	0.161238708800189	0.029459343	0.190155963	0.166	0.707	0.873	25.86	6.51814773020836	4.07927	NA	31.9305923794489	4.60692956021892	9.71297686208053	321.553167046164	21.0834776344137	NA	3.65884853395438	NA	4.02610859020361	13.1509839965723	133.499839389452	0.766877826705451	3.03919830689069	5.31475455849663	11.221655286981	NA	NA	NA	NA	NA	NA	0.236685	247	296	157	0	0.456	2	28.6	36.2	86	4	13.5	42.32574099	9.919895876	0	0	0	0	166	0	0	0	0	0	0	0	2417	1068	185	571	0.138	21.2203	NA	0.061446249	0.103	1.589	0.08	0.106	0.15	0.93	0	0.06	0.16	4.5	63.5	0	14.9	37.2	4.96	39.9	105	0	0	0	0.6	7.9	6.1	NA	137	0	9.08	16.01	17.8	25.7	0.108	0	804	NA	100	1.64	257	NA	166	NA	NA	NA	718	96	7.1	10.76
1845	0.127075346266487	0.007106005	0.239176997	0.302	0.960666667	1.262666667	24.82	NA	3.11673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21143	373	214	129	0	0.114	1.8	26.3	34.7	24	3	12.6	25.90333077	3.724309294	0	0	0	0	31.5	0	0	0	0	0	7.5	0	2046	488	268	372	0.134	21.4099	NA	0.084286865	0.171	2.092	0.11	0.111	0.17	1.31	0	0.06	0.16	4.7	67.7	0	14	36.3	23.18	38.7	163	0	47.61	0	0.5	6	5.6	NA	336	0	8.98	15.98	19.2	25.6	0.127	0	515	NA	121	2.14	109	NA	261	NA	NA	NA	491	118	7	10.75
1844	0.174792879388248	0.009767568	0.212713918	0.315666667	1.168333333	1.484	26.16	NA	4.69092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.301354	207	213	119	0	0.449	1.8	31.7	35.5	41	4	13.2	36.3673904	2.38661776	0	0	0	0	0	0	0	0	0	0	0	0	2886	339	194	280	0.149	22.1461	NA	0.037767584	0.133	0.988	0.14	0.146	0.17	0.149	0	0.07	0.18	3.5	61.4	0	14.5	37.1	4.96	39.2	72.8	0	0	0	0.4	6.9	5.7	NA	350	0	9.05	15.92	18.9	25.9	0.114	0	917	NA	138	2.39	231	NA	315	NA	NA	NA	876	134	5.7	10.74
1843	0.180781691006415	0.022317017	0.222627245	0.263666667	0.920666667	1.184333333	26.83	NA	4.80963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.334095	350	190	157	0	0.515	2.2	20.3	40.2	42	4	14	5.417973141	8.470922321	0	0	0	0	0	0	0	0	0	0	0	0	482	912	233	136	0.135	21.795	NA	0.07320164	0.162	1.964	0.07	0.132	0.19	1.2	0	0.06	0.15	8.4	74.9	0	14	35	35.69	40.2	122	32.78	22.96	0	0.6	4.8	5.5	NA	388	0	10.01	16.02	19.1	26.9	0.135	0	698	NA	123	2.06	198	NA	197	NA	NA	NA	656	119	11.2	14.31
1834	0.417602331156618	0.012015355	0.283518055	0.602666667	1.523	2.125666667	44.12	NA	20.6942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.158791	112	222	177	0	2.959	1.6	32	37.3	77	15	13.1	12.62154647	30.32550435	0	0	209	0	0	0	19.67	0	0	0	0	0	961	2896	217	102	0.153	28.8606	NA	0.071033545	0.165	3.134	0.17	0.159	0.19	2.14	0	0.12	0.19	3	59.1	7.01	14.6	35.1	0	41.7	111	0	0	99.47	0.6	8.9	5.9	NA	119	4325	8.95	15.9	17.3	26.3	0.156	0	966	NA	156	3.23	171	NA	432	NA	NA	NA	889	141	5.2	10.74
1833	0.394938216061497	0.008724426	0.241153652	0.715666667	2.252	2.967666667	47.23	NA	20.3657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.262052	93.42	303	167	0	2.84	1.4	32.7	36.6	0	18	13.2	46.2127433	8.723954328	0	0	0	0	0	0	0	0	8.48	0	0	0	2578	883	257	90.98	0.184	31.2011	NA	0.084988355	0.154	4.014	0.21	0.23	0.16	2.94	0	0.09	0.23	2.6	59.9	0	14.7	36.1	10.78	40.9	170	0	0	0	0.4	7.4	5.9	NA	598	0	8.94	15.95	17.9	26.4	0.21	0	1455	NA	213	4.11	682	NA	431	NA	NA	NA	1455	195	4.4	10.73
1832	0.306320774685152	0.007264752	0.162054617	0.144333333	0.746333333	0.890666667	36.18	NA	11.5777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.41776	68.38	220	205	0	1.651	0.5	29.5	33.4	67	23	11.7	26.47340709	11.94610424	0	0	0	0	0	14.21	0	0	0	0	0	0	2034	985	204	29.62	0.171	26.2183	NA	0.048811498	0.101	1.766	0.09	0.145	0.19	0.94	0	0.08	0.22	1.2	63.6	0	14.1	35.2	0	40.1	91.96	0	0	0	0.2	6.9	6.2	NA	313	0	8.33	15.9	18.1	26.3	0.212	0	363	NA	189	1.91	95	NA	259	NA	NA	NA	296	166	1.9	10.77
1831	0.373594942432632	0.013165208	0.330627921	0.636333333	1.288333333	1.924666667	43.67	NA	17.5157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0507674	190	256	206	0	2.579	0.4	22	39.2	65	13	13.9	18.38632195	9.664438265	0	0	0	0	0	0	0	0	0	0	0	0	1214	793	303	404	0.175	29.3685	NA	0.070666361	0.178	3.086	0.19	0.198	0.28	1.89	0	0.11	0.24	1.5	69.7	0	14.6	35.5	9.28	41.1	157	0	27.68	0	0.2	8.3	5.7	NA	215	0	9.54	15.89	18.2	27.2	0.168	5.37	702	NA	132	3.15	202	NA	392	NA	NA	NA	637	119	2.1	10.75
1814	0.227486158584207	0.00405414	0.298360634	0.582	1.368666667	1.950666667	30.5	NA	7.1945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.222508577	NA	29	0.594188	117	246	222	0	0.759	1.2	21.3	30.7	32	10	11.5	2.663314205	6.619416672	0	0	0	0	0	0	0	0	0	0	0	0	183	504	233	8.45	0.146	24.4316	NA	0.100393443	0.112	3.062	0.21	0.14	0.25	2.06	0	0.09	0.2	4	72	0	14.7	37.5	10.78	39.1	75.75	0	0	0	0.4	6.7	5.9	NA	219	0	7.84	15.93	19.3	26.3	0.216	0	963	NA	94	3.54	273	NA	203	NA	NA	30	931	84	5.6	10.69
